57,51,51,81,46,48,60,59,107,85,77,56,62,103,67,93,38,31,511
28,28,39,26,25,43,33,48,54,49,45,36,26,57,43,26,17,15,265
153,124,148,213,192,220,201,219,272,285,250,244,270,425,305,253,156,156,1653
319,323,343,405,354,320,340,447,578,562,412,323,347,564,429,365,239,177,2778
33,46,29,33,47,31,41,52,67,86,60,60,60,116,60,69,42,45,354
6,2,6,4,8,12,7,11,9,10,10,5,5,11,9,5,4,2,54
22,31,37,50,52,37,35,52,79,75,48,41,72,150,113,96,49,60,462
85,67,65,94,92,110,117,124,129,142,87,111,119,157,87,81,46,40,745
66,70,75,70,67,92,82,101,122,103,89,93,116,141,78,86,42,35,661
29,58,49,33,21,30,35,54,75,65,37,38,31,41,44,36,21,23,267
0,0,0,0,0,2,2,0,1,1,1,1,2,1,3,0,0,0,13
63,63,69,39,49,67,85,79,83,103,70,78,66,85,59,65,50,51,512
132,97,107,111,134,197,181,206,171,189,164,179,180,256,177,174,118,76,1225
111,96,89,90,115,160,182,167,196,167,149,126,145,216,145,115,84,64,1033
96,89,82,76,73,139,128,148,151,135,88,93,106,164,89,94,63,49,798
122,173,164,172,183,154,166,223,292,289,278,204,235,320,330,305,186,156,1709
164,115,89,79,81,132,198,176,179,145,114,117,118,155,112,83,63,54,884
103,98,95,115,109,128,163,155,186,227,188,156,140,186,143,132,90,69,1051
30,46,49,42,32,22,30,43,71,62,57,43,49,48,49,42,44,34,317
119,81,100,148,113,148,150,174,210,191,124,100,141,211,157,111,64,76,1045
59,62,43,32,42,81,91,76,80,48,53,32,39,62,38,29,39,46,409
39,35,35,35,38,35,55,56,64,56,41,36,39,40,35,30,28,20,302
2,0,5,4,0,3,5,4,8,5,3,4,7,4,3,2,3,5,28
20,14,10,22,15,32,34,29,24,24,26,38,29,35,18,18,11,8,190
25,21,8,18,18,29,47,38,36,33,18,18,16,30,28,20,10,10,193
39,44,38,61,50,63,72,64,88,80,69,88,95,113,97,75,44,40,530
25,43,35,41,45,35,39,45,57,82,71,47,45,54,31,42,43,45,362
25,40,39,41,33,45,33,61,71,77,60,38,59,88,70,76,50,36,388
38,42,58,52,35,46,45,65,94,96,74,68,51,81,87,79,58,50,454
18,12,25,31,23,19,26,23,27,50,30,37,28,32,28,42,17,17,208
33,26,23,25,36,30,33,49,35,31,35,39,30,47,35,27,20,24,235
